"File","Action","Service","ControllerHits","Classification"
"app\Filament\Admin\Resources\AccountingClaimFiles\Pages\ListAccountingClaimFiles.php","generateBulk","ClaimFileService::class","14","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AccountingClaimFiles\Pages\ListAccountingClaimFiles.php","generateCombined","ClaimFileService::class","14","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AccountingDeposits\AccountingDepositResource.php","confirmDeposit","AccountingDepositService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AccountingDeposits\AccountingDepositResource.php","processRefund","AccountingDepositService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AccountingNotifications\AccountingNotificationResource.php","markRead","AccountingNotificationService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AccountingNotifications\Pages\ListAccountingNotifications.php","markAllRead","AccountingNotificationService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AdminNotifications\AdminNotificationResource.php","markRead","NotificationAdminService::class","6","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AdminNotifications\Pages\ListAdminNotifications.php","markAllRead","NotificationAdminService::class","6","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AdminNotifications\Pages\ListAdminNotifications.php","sendAdminNotification","NotificationAdminService::class","6","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AssistantKnowledgeEntries\AssistantKnowledgeEntryResource.php","deleteEntry","AssistantKnowledgeEntryService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AssistantKnowledgeEntries\Pages\CreateAssistantKnowledgeEntry.php","handleRecordCreation","AssistantKnowledgeEntryService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AssistantKnowledgeEntries\Pages\EditAssistantKnowledgeEntry.php","deleteEntry","AssistantKnowledgeEntryService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\AssistantKnowledgeEntries\Pages\EditAssistantKnowledgeEntry.php","handleRecordUpdate","AssistantKnowledgeEntryService::class","2","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\ClaimFiles\ClaimFileResource.php","generatePdf","ClaimFileService::class","14","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\ClaimFiles\Pages\ListClaimFiles.php","generateBulk","ClaimFileService::class","14","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\ClaimFiles\Pages\ListClaimFiles.php","generateCombined","ClaimFileService::class","14","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\CommissionDistributions\CommissionDistributionResource.php","approveDistribution","AccountingCommissionService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\CommissionDistributions\CommissionDistributionResource.php","markPaid","AccountingCommissionService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\CommissionDistributions\CommissionDistributionResource.php","rejectDistribution","AccountingCommissionService::class","3","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\Contracts\ContractResource.php","approveContract","ContractService::class","45","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\Contracts\ContractResource.php","markReadyForMarketing","ContractService::class","45","ALREADY SHARED WITH LEGACY/API"
